Date,Time,Ptch(rad),Roll(rad),Yaw(rad),FM,RxBt(V),Curr(A),Capa(mAh),Bat%(%),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Rud,Ele,Thr,Ail,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2000-01-01,00:27:23.730,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,100,11,0,9,25,-52,100,11,-1,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:23.930,0.00,0.00,0.00,"",0.0,0.0,0,0,-67,0,99,10,0,9,25,-53,100,11,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:24.130,0.00,0.00,0.00,"",0.0,0.0,0,0,-67,0,99,11,0,9,25,-59,100,13,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:24.330,0.00,0.00,0.00,"",0.0,0.0,0,0,-67,0,99,11,0,9,25,-59,100,13,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:24.530,0.00,0.00,0.00,"",0.0,0.0,0,0,-67,0,99,10,0,9,25,-58,100,11,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:24.730,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,99,10,0,9,25,-53,100,12,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:24.930,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,98,11,0,9,25,-51,100,11,-2,8,-1024,2,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:25.130,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,99,10,0,9,25,-53,100,11,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:25.330,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,99,10,0,9,25,-51,100,11,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:25.530,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,99,10,0,9,25,-51,100,11,-1,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:25.730,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,99,9,0,9,25,-51,100,10,-2,7,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:25.930,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,100,11,0,9,25,-54,100,11,-1,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:26.130,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,100,10,0,9,25,-59,100,11,-3,8,-1024,2,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:26.330,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,100,10,0,9,25,-57,100,11,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:26.530,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,100,10,0,9,25,-53,100,10,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:26.730,0.00,0.00,0.00,"",0.0,0.0,0,0,-66,0,100,10,0,9,25,-53,100,10,-2,8,-1024,1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:26.930,0.00,0.00,0.00,"",0.0,0.0,0,0,-67,0,99,11,0,9,25,-50,100,11,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:27.130,0.00,0.00,0.00,"",0.0,0.0,0,0,-65,0,99,10,0,9,25,-53,100,11,-2,9,-1024,2,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
